Name,Description
Tsukumogami,Inanimate object that becomes animated after existing for 100 years
Tsul 'Kalu,Giant nature spirit
Tugarin Zmeyevich,Evil shapeshifter
Tylwyth Teg,Nature spirit
Tupilaq,Animated construct
Turehu,Pale spirit
Turul,Giant falcon that helped shape the origins of the Magyars
Tzitzimitl,Skeletal star spirit
Ubume,Ghosts of women who died in childbirth
Umibozu,Ghost of drowned priest
Undead,Dead that behave as if alive
Underwater panther,Feline water spirit
Undine,Water elemental
Unhcegila,Dragon
Unicorn,Horse with magical healing horn.
Unktehi,Serpentine rain spirit
Unktehila,Reptilian water monster
Upinis,River spirit
Urayuli,Hairy giant
Urias,Giant
Utukku,"Underworld messenger spirit"
Uwan,Spirit that shouts to surprise people
Vadatajs,Spirit that misleads people
Vaettir,Nature spirit
Valkyrie,Female spirit that leads souls of dead warriors to Valhalla
Valva,Female nature spirit
Valravn,Supernatural raven
Vampire,Reanimated corpse that subsists on blood
Vantoase,Female weather spirit
Varaha,Third Avatar of Vishnu in the form of a boar
Varcolac,Vampire or werewolf
Vardoger,Ghostly double
Vedrfolnir,Hawk sitting between the eyes of an eagle in the crown of Yggdrasill; the World Tree
Veli,Ghost; shade; formed after a death of a human
Veri Selen,dragon
Vetala,Corpses possessed by vampiric spirits
Vibria,Dragon with breasts and an eagle's beak
Vila,Weather spirit
Virunas,Handsome demon
Vision Serpent,Mystical dragon
Vidopnir;,Rooster that sits atop the tree
Vodyanoy,Male water spirit
Waldgeist,Forest spirit
Wanyudo,Demon in the form of a burning ox cart with a human head
Warg,Giant; demonic wolf
Warlock,A man who practices magic
Water monkey,Water spirit
Water sprite,Water elemental
Weisse Frauen,Female spirit
Wekufe,Demon
Wendigo,Anthropophagous spirit
Wentshukumishiteu,Water spirit
White Lady,Ghost of a murdered or mistreated woman
Witch,Person who practices magic
Witte Wieven,Female; ancestral spirit
Wondjina,Weather spirit
Wraith,Water spirit or ghostly apparition
Wu Tou Gui,Beheaded ghost
Wyrm,dragon
Wyvern,Flying reptile; usually with two legs and two wings
Xana,Female water spirit
Xecotcovach,Bird
Xelhua,Giant
Xing Tian,Headless giant
Xiuhcoatl,Drought spirit
Xindhi,Elves
Yacumama,Sea monster
Yacuruna,Mythical water people; with backwards heads and feet
Yadokai,Malevolent; nocturnal spirit
Yaksha,Male nature spirit
Yakshi,Vampire
Yakshini,Female nature spirit
Yanari,Spirit which causes strange noises
Yaoguai,Animalistic demon
Yeth hound,Headless dog
Yeti,Mountain Bigfoot
Yilbegan,Either a dragon or a giant
Yobuko,Mountain dwelling spirit
Yokai,Supernatural Monster
Yong,dragon
Yosei,Fairy
You Hun Ye Gui,Wandering ghost
Yuan Gui,Distressed ghost
Yukinko,Childlike snow spirit
Yurei,Ghost
Zahhak,Dragon
Zaltys,Serpentine fertility spirit
Zamzum,Giant
Zana,Nature spirit
Zduhac,Disembodied; heroic spirit
Zeus,God of the sky; lightning; thunder; law; order; justice
Zhu Que,Fire elemental bird
Ziburinis,Forest spirit in the form of a glowing skeleton
Zilant,Flying reptile with chicken legs
Zin,Water spirits
Ziz,Giant Bird
Zlatorog,White deer with golden horns
Zmeu,Giant with a habit of kidnapping young girls
Zmiy,dragon
Zorigami,Animated clock
Zuijin,Tutelary spirit
